Symbol
ADANIENT.NS
ADANIPORTS.NS
APOLLOHOSP.NS
ASIANPAINT.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJFINANCE.NS
BAJAJFINSV.NS
BPCL.NS
BHARTIARTL.NS
BRITANNIA.NS
CIPLA.NS
COALINDIA.NS
DIVISLAB.NS
DRREDDY.NS
EICHERMOT.NS
GRASIM.NS
HCLTECH.NS
HDFCBANK.NS
HDFCLIFE.NS
HEROMOTOCO.NS
HINDALCO.NS
HINDUNILVR.NS
HDFC.NS
ICICIBANK.NS
ITC.NS
INDUSINDBK.NS
INFY.NS
JSWSTEEL.NS
KOTAKBANK.NS
LT.NS
M&M.NS
MARUTI.NS
NTPC.NS
NESTLEIND.NS
ONGC.NS
POWERGRID.NS
RELIANCE.NS
SBILIFE.NS
SBIN.NS
SUNPHARMA.NS
TCS.NS
TATACONSUM.NS
TATAMOTORS.NS
TATASTEEL.NS
TECHM.NS
TITAN.NS
UPL.NS
ULTRACEMCO.NS
WIPRO.NS
